emotionlist,names
Angry,Dana
Annoyed,Caroline
Disappointed,Nancy
Disgusted,Adele
Apprehensive,Maya
Embarrassed,Leah
Sad,Hilary
Guilty,Liz
Lonely,Julia
Afraid,Suzanne
Content,Tanya
Grateful,Rachel
Hopeful,Kim
Impressed,Francesca
Joyful,Rebecca
Nostalgic,Melissa
Proud,Sarah
,Alison
,Jennifer
,Amanda
,Emily
,Georgia
,Laurie
,Ellyn
